v	Issue	link	crate	category	opened	state	year	month
#5	AXFR response ordering incorrect	https://github.com/bluejekyll/trust-dns/issues/5	server	protocol	11/11/2015	closed	2015	11
#9	0.5.2 broken on Linux	https://github.com/bluejekyll/trust-dns/issues/9	proto	logic	4/6/2016	closed	2016	4
#10	[Client] NSEC3 validation not correctly implemented	https://github.com/bluejekyll/trust-dns/issues/10	proto	protocol	5/9/2016	open	2016	5
#25	Verify no resource leak in MIO and event registry	https://github.com/bluejekyll/trust-dns/issues/25	proto	leak	6/27/2016	closed	2016	6
#27	Client fails to verify records with uppercased names	https://github.com/bluejekyll/trust-dns/issues/27	proto	protocol	8/7/2016	closed	2016	8
#28	Wildcard is not handled correctly when verifying RRset	https://github.com/bluejekyll/trust-dns/issues/28	proto	protocol	8/9/2016	closed	2016	8
#36	Remove panic!() from op_code From impl 	https://github.com/bluejekyll/trust-dns/issues/36	proto	crash	8/19/2016	closed	2016	8
#37	License metadata disagrees with comment	https://github.com/bluejekyll/trust-dns/issues/37	all	docs	8/21/2016	closed	2016	8
#44	Crash when creating journal from zone with allow_update=true	https://github.com/bluejekyll/trust-dns/issues/44	server	crash	9/8/2016	closed	2016	9
#53	[Server] ResponseCode for NSEC on non-existent RecordType should be NoError	https://github.com/bluejekyll/trust-dns/issues/53	server	protocol	10/16/2016	closed	2016	10
#56	Listen on all addresses	https://github.com/bluejekyll/trust-dns/issues/56	server	logic	10/25/2016	closed	2016	10
#85	Inconsistent build (server + macOS): ssl linkage error	https://github.com/bluejekyll/trust-dns/issues/85	all	build	1/13/2017	closed	2017	1
#100	Fix mtls, client auth feature	https://github.com/bluejekyll/trust-dns/issues/100	client	logic	3/8/2017	opened	2017	3
#107	Build error under CentOS and Ubuntu	https://github.com/bluejekyll/trust-dns/issues/107	all	build	3/22/2017	closed	2017	3
#118	calculation of key_tag is wrong	https://github.com/bluejekyll/trust-dns/issues/118	proto	protocol	4/21/2017	closed	2017	4
#120	SIG(0) signature should include SIG's RDATA in hash	https://github.com/bluejekyll/trust-dns/issues/120	proto	protocol	4/24/2017	closed	2017	4
#131	Issue building TRust-DNS 0.10 in Windows	https://github.com/bluejekyll/trust-dns/issues/131	all	build	5/10/2017	closed	2017	5
#141	ECDSA support is broken	https://github.com/bluejekyll/trust-dns/issues/141	proto	protocol	6/6/2017	closed	2017	6
#152	NSEC validation failing in nightly	https://github.com/bluejekyll/trust-dns/issues/152	proto	protocol	6/24/2017	closed	2017	6
#200	DNSSEC Signature verification doesn't verify actual bytes received on the wire	https://github.com/bluejekyll/trust-dns/issues/200	proto	protocol	9/22/2017	opened	2017	9
#209	[Server] DNSSEC doesn't want to work	https://github.com/bluejekyll/trust-dns/issues/209	server	protocol	9/26/2017	closed	2017	9
#212	[Server] Can't sign while recovering from journal because keys are not loaded at this point	https://github.com/bluejekyll/trust-dns/issues/212	server	logic	9/27/2017	closed	2017	9
#213	[Server] DNSSEC works only with RSASHA256	https://github.com/bluejekyll/trust-dns/issues/213	server	logic	9/27/2017	closed	2017	9
#214	DNSKEY query not returning RRSIG (or DNSKEY not being signed)	https://github.com/bluejekyll/trust-dns/issues/214	server	logic	9/27/2017	closed	2017	9
#227	Synchronous resolver is not Send + Sync	https://github.com/bluejekyll/trust-dns/issues/227	client	type	10/12/2017	closed	2017	10
#243	Requests for unsupported types time out	https://github.com/bluejekyll/trust-dns/issues/243	server	logic	10/21/2017	closed	2017	10
#253	Inappropriate use of the rand module	https://github.com/bluejekyll/trust-dns/issues/253	proto	logic	10/23/2017	closed	2017	10
#255	Server TLS test keys need to be rotated	https://github.com/bluejekyll/trust-dns/issues/255	server	test	10/24/2017	closed	2017	10
#263	Questionable implementation of DNSClass -> u16 conversion	https://github.com/bluejekyll/trust-dns/issues/263	proto	crash	10/24/2017	closed	2017	10
#272	CNAME and ALL queries recursively resolve CNAMES, but shouldn't	https://github.com/bluejekyll/trust-dns/issues/272	resolver	protocol	10/26/2017	closed	2017	10
#273	TTL for query results recursively resolved through CNAME (and SRV?) doesn't take CNAME (SRV?) TTL into account.	https://github.com/bluejekyll/trust-dns/issues/273	resolver	protocol	10/26/2017	closed	2017	10
#274	When matching records by type and/or by name, the class (`IN`, etc.) needs to be matched too	https://github.com/bluejekyll/trust-dns/issues/274	resolver	protocol	10/26/2017	closed	2017	10
#314	failure to parse a valid zone file	https://github.com/bluejekyll/trust-dns/issues/314	server	protocol	12/14/2017	open	2017	12
#320	Ability to create invalid records	https://github.com/bluejekyll/trust-dns/issues/320	proto	type	12/18/2017	closed	2017	12
#351	server panics when responding to AXFR on zone with absurd number of records	https://github.com/bluejekyll/trust-dns/issues/351	server	crash	2/25/2018	open	2018	2
#355	error notifying wait, possible future leak	https://github.com/bluejekyll/trust-dns/issues/355	proto	logic	3/6/2018	closed	2018	3
#357	Default google ipv6 addresses are incorrectly specified	https://github.com/bluejekyll/trust-dns/issues/357	resolver	config	3/7/2018	closed	2018	3
#393	dns_sd::tests::test_list_services panics on my machine	https://github.com/bluejekyll/trust-dns/issues/393	resolver	logic	4/10/2018	closed	2018	4
